id;tipo;dir_buz;buzamiento
1;diaclasa;145;8
2;diaclasa;85;73
3;diaclasa;305;74
4;diaclasa;230;80
5;diaclasa;160;27
6;diaclasa;241;89
7;diaclasa;350;89
8;diaclasa;225;89
9;diaclasa;275;65
10;diaclasa;145;70
11;diaclasa;115;7
12;diaclasa;155;63
13;diaclasa;265;79
14;diaclasa;155;62
15;diaclasa;330;35
16;diaclasa;190;60
17;diaclasa;30;87
18;diaclasa;310;40
19;diaclasa;190;80
20;diaclasa;55;50
21;diaclasa;125;25
22;diaclasa;241;45
23;diaclasa;254;65
24;diaclasa;255;88
25;diaclasa;26;80
26;diaclasa;357;15
27;diaclasa;55;25
28;diaclasa;225;59
29;diaclasa;42;14
30;diaclasa;195;89
31;diaclasa;106;81
32;diaclasa;346;89
33;diaclasa;135;11
34;diaclasa;275;39
35;diaclasa;227;39
36;diaclasa;288;80
37;diaclasa;260;79
38;diaclasa;110;30
39;diaclasa;223;83
40;diaclasa;353;42
41;diaclasa;179;75
42;diaclasa;140;67
43;diaclasa;359;74
44;diaclasa;245;67
45;diaclasa;212;87
46;falla;100;80
47;diaclasa;155;30
48;diaclasa;340;70
49;diaclasa;205;75
50;diaclasa;175;58
51;diaclasa;290;53
52;diaclasa;295;67
53;diaclasa;120;22
54;diaclasa;248;80
55;diaclasa;250;80
56;diaclasa;139;51
57;diaclasa;205;39
58;diaclasa;205;65
59;diaclasa;151;65
60;diaclasa;220;78
61;diaclasa;130;71
62;diaclasa;350;80
63;diaclasa;161;20
64;diaclasa;325;39
65;diaclasa;344;75
66;diaclasa;55;74
67;diaclasa;150;57
68;diaclasa;74;74
69;diaclasa;191;87
70;diaclasa;300;75
71;diaclasa;54;37
72;diaclasa;240;60
73;foliacion;59;12
74;diaclasa;174;40
75;foliacion;65;13
76;foliacion;66;18
77;diaclasa;12;12
78;diaclasa;295;79
79;foliacion;36;20
80;diaclasa;115;70
81;diaclasa;20;20
82;diaclasa;247;21
83;diaclasa;80;65
84;diaclasa;56;76
85;diaclasa;320;63
86;diaclasa;250;30
87;diaclasa;150;45
88;foliacion;80;15
89;foliacion;84;39
